WARON HOSPITAL,,,,,,,,,,Catatan :,
 Jasa Tindakan Operasi,,,,,,,,,,A,"Waktu untuk Tindakan Operasi : Senin - Sabtu, Jam 07.00 - 20.00"
Periode 2025 -2026,,,,,,,,,,B,Biaya jasa tindakan operasi tersebut berlaku untuk tindakan operasi direncanakan (Elektif)
Golongan III,"  4.500.000,00 ","  5.250.000,00 ","  5.700.000,00 ","  7.200.000,00 ","  9.000.000,00 ","  10.500.000,00 ",,,,D,"Tindakan Operasi Emergency (CITO) yang tidak dapat dilakukan penundaan, dikenakan tambahan jasa anestesi 30% dengan minimal Rp. 1.000.000"
Golongan Khusus,"  4.687.500,00 ","  6.000.000,00 ","  6.900.000,00 ","  8.700.000,00 ","  11.100.000,00 ","  12.900.000,00 ",,,,E,"Apabila pada saat operasi ditemukan adanya penyulit, maka akan dikenakan tambahan 30%"
Golongan IIA,"  2.400.000,00 ","  3.000.000,00 ","  4.050.000,00 ","  6.000.000,00 ","  6.900.000,00 ","  8.100.000,00 ",,,,F,Tindakan Operasi Ganda menggunakan perhitungan sebagai berikut:
GOLONGAN II NORMAL,,,,,,,,,,,1. Tindakan Operasi Ganda oleh 1 Spesialis pada 1 Lokasi:
Pain management (PNB preop/postop/OutPatient/PCA),"  2.200.000,00 ","  2.200.000,00 ","  2.200.000,00 ","  2.400.000,00 ","  2.400.000,00 ","  2.900.000,00 ",,,,, - Tindakan Operasi ke - I (Jenis Operasi terbesar)      : 100%
,,,,,,,,,,, - Tindakan Operasi ke - II dst                                             : 50%
,,,,,,,,,,,2. Tindakan Operasi Ganda oleh 1 Spesialis pada 2 Lokasi
,,,,,,,,,,, - Tindakan Operasi ke - I               : 100%
,,,,,,,,,,, - Tindakan Operasi ke - II dst     : 100%
In Patient Visite,,,,,,,,,,,3. Tindakan Operasi Ganda oleh 2 Spesialis pada 1 Lokasi atau lebih
,,,,,,,,,,, - Tindakan Operasi ke - I                  : 100%
Keterangan, Kelas III, Kelas II, Kelas I, VIP, VVIP , Penthouse," ICU, PICU, NICU",,,, - Tindakan Operasi ke - II dst       : 100%
Visite - By GP,100.000,100.000,100.000,100.000,100.000,100.000,100.000,,,G,Operasi ulang (Re-open) pada hari yang sama dikenakan biaya 50%
Visite - by Specialist,  470.000 ,  500.000 ,  610.000 ,  770.000 ,  880.000 ,  990.000 ,  610.000 ,,,H,Rawat Jalan/Day Surgery biaya pemakaian kamar operasi mengkuti pasien kelas II
Visite - by subspecialist,  610.000 ,  630.000 ,  740.000 ,  880.000 ,  990.000 ,  1.100.000 ,  740.000 ,,,I,Jasa Tindakan Anastesi untuk Operasi ditetapkan berdasarkan kelas perawatan tertinggi yang diambil oleh pasien dalam 1 kali masa perawatan
Visite - by Professor,  700.000 ,  800.000 ,  900.000 ,  1.000.000 ,  1.100.000 ,  1.500.000 ,  900.000 ,,,J,"Jasa Tindakan Anastesi untuk Operasi tidak termasuk biaya visite rawat inap dan biaya tindakan lain yang tidak termasuk dalam Tabel di atas. Misalkan jasa tindakan Pain Management preop atau postop, jasa pemasangan CVC/ CDL Hemodialisa, arterial line."
,,,,,,,,,,K,Biaya tindakan operasi tidak termasuk biaya sewa alat yang dibawa oleh operator karena fasilitas alat rumah sakit yang tidak ada/kurang lengkap
